,Kilometrage,Year,price,statu_propi,version,Argus
0,15254,2015,10990,c,intens,13120.0
1,28537,2014,7900,c,life,10310.0
2,8751,2013,8990,c,life,8890.0
3,240,2017,13990,c,life,14058.0
4,7248,2015,10690,c,life,12168.0
5,11480,2015,10300,c,life,12168.0
6,34121,2014,10790,c,intens,9496.0
7,9474,2015,10980,c,intens,13120.0
8,10207,2014,10290,c,life,10310.0
9,9087,2016,10480,c,life,13200.0
10,2000,2016,10890,c,life,13200.0
11,17900,2013,9490,c,zen,8260.0
12,24147,2014,10100,c,zen,9640.0
13,21120,2015,10880,c,intens,13120.0
14,7079,2015,10890,c,life,12168.0
15,23660,2013,9200,c,zen,8260.0
16,7039,2014,9500,c,life,10310.0
17,25257,2014,8980,c,life,10310.0
18,13484,2013,8500,c,life,8890.0
19,32671,2013,8690,c,intens,10084.0
20,6500,2017,18500,c,zen,13299.0
21,31250,2013,8480,c,zen,8260.0
22,31451,2013,7990,c,life,8890.0
23,70896,2013,6790,c,life,8890.0
24,6667,2016,10890,c,life,13200.0
25,500,2017,16390,c,zen,13299.0
26,17940,2015,9900,c,life,12168.0
27,3100,2015,11590,c,zen,11332.0
28,40095,2015,10700,c,intens,13120.0
29,81404,2013,8700,c,zen,8260.0
30,18815,2014,10900,c,intens,9496.0
31,10014,2015,11500,c,intens,13120.0
32,1,2017,17790,c,intens,13940.0
33,8184,2014,10990,c,zen,9640.0
34,1,2017,17790,c,intens,13940.0
35,1,2017,17490,c,intens,13940.0
36,1,2017,17790,c,intens,13940.0
37,1,2017,17790,c,intens,13940.0
38,1,2017,17790,c,intens,13940.0
39,1,2017,17490,c,intens,13940.0
40,1,2017,17790,c,intens,13940.0
41,1,2017,17790,c,intens,13940.0
42,19186,2013,8790,c,zen,8260.0
43,1,2017,17790,c,intens,13940.0
44,1,2017,17790,c,intens,13940.0
45,1,2017,17790,c,intens,13940.0
46,19756,2015,11990,c,intens,13120.0
47,100,2016,13900,c,zen,11656.0
48,49299,2013,9980,c,zen,8260.0
49,2759,2014,9490,c,life,10310.0
50,6130,2016,12990,c,intens,11728.0
51,100,2016,13900,c,zen,11656.0
52,33853,2014,9980,c,life,10310.0
53,100,2016,10390,c,zen,11656.0
54,100,2016,11690,c,zen,11656.0
55,100,2016,11390,c,zen,11656.0
56,27582,2014,9600,c,life,10310.0
57,15888,2014,10990,c,intens,9496.0
58,19438,2015,9500,c,life,12168.0
59,8800,2013,9490,c,life,8890.0
60,100,2016,11690,c,zen,11656.0
61,31872,2014,9600,c,life,10310.0
62,70102,2013,9000,c,zen,8260.0
63,31425,2014,9100,c,life,10310.0
64,32203,2014,9600,c,life,10310.0
65,14497,2014,10990,c,zen,9640.0
66,20359,2014,10400,c,zen,9640.0
67,5975,2016,11990,c,zen,11656.0
68,5975,2016,11990,c,zen,11656.0
69,12658,2014,9490,c,life,10310.0
70,4000,2017,16800,p,intens,13940.0
71,20000,2017,15900,p,zen,13299.0
72,29000,2014,9700,p,life,10310.0
73,5700,2016,8900,p,zen,11656.0
74,27500,2013,7800,p,life,8890.0
75,24000,2013,10300,p,intens,10084.0
76,39500,2013,8900,p,intens,10084.0
77,19900,2013,9100,p,zen,8260.0
78,49000,2014,8990,p,intens,9496.0
79,29500,2013,7950,p,intens,10084.0
80,45000,2010,9900,p,zen,6324.0
81,55300,2013,8000,p,zen,8260.0
82,20000,2015,10450,p,intens,13120.0
83,7400,2017,16800,p,zen,13299.0
84,17800,2017,15000,p,zen,13299.0
85,6000,2015,10990,p,zen,11332.0
86,65000,2015,10500,p,intens,13120.0
