"DONNEES - Effectifs des médecins"
"ANNEE - 2016"
"SPECIALITE - Ensemble des spécialités d'exercice"

REGION INSCRIPT;"Alsace-Champagne-Ardenne-Lorraine";"Aquitaine-Limousin-Poitou-Charentes";"Auvergne-Rhône-Alpes";"Bourgogne-Franche-Comté";"Bretagne";"Centre-Val de Loire";"Corse";"Guadeloupe";"Guyane";"Ile-de-France";"La Réunion";"Languedoc-Roussillon-Midi-Pyrénées";"Martinique";"Mayotte";"Nord-Pas-de-Calais-Picardie";"Normandie";"Pays de la Loire";"Provence-Alpes-Côte d’Azur";"FRANCE ENTIERE"
"REGION DIPLOME";
"Alsace-Champagne-Ardenne-Lorraine";13442;494;919;531;269;218;34;55;26;1103;190;613;43;16;548;189;313;665;19668
"Antilles-Guyane";10;60;17;0;11;2;0;91;34;34;11;29;86;0;7;3;6;29;430
"Aquitaine-Limousin-Poitou-Charentes";138;12983;431;83;346;366;28;188;68;886;439;1032;184;16;141;125;431;523;18408
"Auvergne-Rhône-Alpes";283;504;18445;702;197;217;64;70;52;1002;243;800;43;24;146;103;217;1309;24421
"Bourgogne-Franche-Comté";454;175;815;5138;105;103;17;23;6;334;84;279;34;9;72;74;76;346;8144
"Bretagne";65;203;142;32;6194;96;13;18;14;378;75;131;21;10;68;204;523;143;8330
"Centre-Val de Loire";43;338;146;42;143;2862;5;34;8;491;37;139;18;2;67;69;328;133;4905
"Ile-de-France";658;1602;1601;684;1112;1548;105;194;78;34465;353;1506;212;24;1279;1316;1225;1625;49587
"Languedoc-Roussillon-Midi-Pyrénées";132;945;696;87;78;123;60;126;38;779;357;13127;124;17;86;78;136;1095;18084
"Nord-Pas-de-Calais-Picardie";254;538;591;126;324;191;36;59;17;1410;225;525;56;5;13470;315;333;552;19027
"Normandie";84;251;224;57;337;114;13;22;12;852;100;217;31;4;152;6118;240;176;9004
"Pays de la Loire";67;398;172;38;703;160;5;26;13;504;91;178;33;3;76;142;6146;130;8885
"Provence-Alpes-Côte d’Azur";71;220;507;69;83;74;543;46;37;512;317;536;47;24;59;52;64;12172;15433
"Autre France";6;12;10;4;3;3;2;1;1;40;7;17;0;2;5;1;0;15;129
"Etranger";2075;1011;1796;713;493;828;48;118;174;5225;154;1450;101;30;1819;867;586;1396;18884
"Inconnu";7;11;21;4;2;17;2;0;0;74;0;14;1;1;21;15;5;37;232
"Ensemble des régions de diplôme";17789;19745;26533;8310;10400;6922;975;1071;578;48089;2683;20593;1034;187;18016;9671;10629;20346;223571
